stage,exp_train,res_type,res_id,res_number
506031,5,2,0,434
,,2,10,217
,,8,0,257
506032,5,2,0,434
,,2,10,217
,,8,0,257
506033,5,2,0,434
,,2,10,217
,,8,0,257
506034,5,2,0,434
,,2,10,217
,,8,0,257
506035,5,2,0,434
,,2,10,217
,,8,0,257
506036,5,2,0,436
,,2,10,218
,,8,0,258
506037,5,2,0,436
,,2,10,218
,,8,0,258
506038,5,2,0,436
,,2,10,218
,,8,0,258
506039,5,2,0,436
,,2,10,218
,,8,0,258
506040,5,2,0,436
,,2,10,218
,,8,0,258
506041,5,2,0,438
,,2,10,219
,,8,0,259
506042,5,2,0,438
,,2,10,219
,,8,0,259
506043,5,2,0,438
,,2,10,219
,,8,0,259
506044,5,2,0,438
,,2,10,219
,,8,0,259
506045,5,2,0,438
,,2,10,219
,,8,0,259
506046,5,2,0,440
,,2,10,220
,,8,0,260
506047,5,2,0,440
,,2,10,220
,,8,0,260
506048,5,2,0,440
,,2,10,220
,,8,0,260
506049,5,2,0,440
,,2,10,220
,,8,0,260
506050,5,2,0,440
,,2,10,220
,,8,0,260
507001,5,2,0,442
,,2,10,221
,,8,0,261
507002,5,2,0,442
,,2,10,221
,,8,0,261
507003,5,2,0,442
,,2,10,221
,,8,0,261
507004,5,2,0,442
,,2,10,221
,,8,0,261
507005,5,2,0,442
,,2,10,221
,,8,0,261
507006,5,2,0,444
,,2,10,222
,,8,0,262
507007,5,2,0,444
,,2,10,222
,,8,0,262
507008,5,2,0,444
,,2,10,222
,,8,0,262
507009,5,2,0,444
,,2,10,222
,,8,0,262
507010,5,2,0,444
,,2,10,222
,,8,0,262
507011,5,2,0,446
,,2,10,223
,,8,0,263
507012,5,2,0,446
,,2,10,223
,,8,0,263
507013,5,2,0,446
,,2,10,223
,,8,0,263
507014,5,2,0,446
,,2,10,223
,,8,0,263
507015,5,2,0,446
,,2,10,223
,,8,0,263
507016,5,2,0,448
,,2,10,224
,,8,0,264
507017,5,2,0,448
,,2,10,224
,,8,0,264
507018,5,2,0,448
,,2,10,224
,,8,0,264
507019,5,2,0,448
,,2,10,224
,,8,0,264
507020,5,2,0,448
,,2,10,224
,,8,0,264
507021,5,2,0,450
,,2,10,225
,,8,0,265
507022,5,2,0,450
,,2,10,225
,,8,0,265
507023,5,2,0,450
,,2,10,225
,,8,0,265
507024,5,2,0,450
,,2,10,225
,,8,0,265
507025,5,2,0,450
,,2,10,225
,,8,0,265
507026,5,2,0,452
,,2,10,226
,,8,0,266
507027,5,2,0,452
,,2,10,226
,,8,0,266
507028,5,2,0,452
,,2,10,226
,,8,0,266
507029,5,2,0,452
,,2,10,226
,,8,0,266
507030,5,2,0,452
,,2,10,226
,,8,0,266
507031,5,2,0,454
,,2,10,227
,,8,0,267
507032,5,2,0,454
,,2,10,227
,,8,0,267
507033,5,2,0,454
,,2,10,227
,,8,0,267
507034,5,2,0,454
,,2,10,227
,,8,0,267
507035,5,2,0,454
,,2,10,227
,,8,0,267
507036,5,2,0,456
,,2,10,228
,,8,0,268
507037,5,2,0,456
,,2,10,228
,,8,0,268
507038,5,2,0,456
,,2,10,228
,,8,0,268
507039,5,2,0,456
,,2,10,228
,,8,0,268
507040,5,2,0,456
,,2,10,228
,,8,0,268
507041,5,2,0,458
,,2,10,229
,,8,0,269
507042,5,2,0,458
,,2,10,229
,,8,0,269
507043,5,2,0,458
,,2,10,229
,,8,0,269
507044,5,2,0,458
,,2,10,229
,,8,0,269
507045,5,2,0,458
,,2,10,229
,,8,0,269
507046,5,2,0,460
,,2,10,230
,,8,0,270
507047,5,2,0,460
,,2,10,230
,,8,0,270
507048,5,2,0,460
,,2,10,230
,,8,0,270
507049,5,2,0,460
,,2,10,230
,,8,0,270
507050,5,2,0,460
,,2,10,230
,,8,0,270
507051,5,2,0,462
,,2,10,231
,,8,0,271
507052,5,2,0,462
,,2,10,231
,,8,0,271
507053,5,2,0,462
,,2,10,231
,,8,0,271
507054,5,2,0,462
,,2,10,231
,,8,0,271
507055,5,2,0,462
,,2,10,231
,,8,0,271
508001,5,2,0,464
,,2,10,232
,,8,0,272
508002,5,2,0,464
,,2,10,232
,,8,0,272
508003,5,2,0,464
,,2,10,232
,,8,0,272
508004,5,2,0,464
,,2,10,232
,,8,0,272
508005,5,2,0,464
,,2,10,232
,,8,0,272
508006,5,2,0,466
,,2,10,233
,,8,0,273
508007,5,2,0,466
,,2,10,233
,,8,0,273
508008,5,2,0,466
,,2,10,233
,,8,0,273
508009,5,2,0,466
,,2,10,233
,,8,0,273
508010,5,2,0,466
,,2,10,233
,,8,0,273
508011,5,2,0,468
,,2,10,234
,,8,0,274
508012,5,2,0,468
,,2,10,234
,,8,0,274
508013,5,2,0,468
,,2,10,234
,,8,0,274
508014,5,2,0,468
,,2,10,234
,,8,0,274
508015,5,2,0,468
,,2,10,234
,,8,0,274
508016,5,2,0,470
,,2,10,235
,,8,0,275
508017,5,2,0,470
,,2,10,235
,,8,0,275
508018,5,2,0,470
,,2,10,235
,,8,0,275
508019,5,2,0,470
,,2,10,235
,,8,0,275
508020,5,2,0,470
,,2,10,235
,,8,0,275
508021,5,2,0,472
,,2,10,236
,,8,0,276
508022,5,2,0,472
,,2,10,236
,,8,0,276
508023,5,2,0,472
,,2,10,236
,,8,0,276
508024,5,2,0,472
,,2,10,236
,,8,0,276
508025,5,2,0,472
,,2,10,236
,,8,0,276
508026,5,2,0,474
,,2,10,237
,,8,0,277
508027,5,2,0,474
,,2,10,237
,,8,0,277
508028,5,2,0,474
,,2,10,237
,,8,0,277
508029,5,2,0,474
,,2,10,237
,,8,0,277
508030,5,2,0,474
,,2,10,237
,,8,0,277
508031,5,2,0,476
,,2,10,238
,,8,0,278
508032,5,2,0,476
,,2,10,238
,,8,0,278
508033,5,2,0,476
,,2,10,238
,,8,0,278
508034,5,2,0,476
,,2,10,238
,,8,0,278
508035,5,2,0,476
,,2,10,238
,,8,0,278
508036,5,2,0,478
,,2,10,239
,,8,0,279
508037,5,2,0,478
,,2,10,239
,,8,0,279
508038,5,2,0,478
,,2,10,239
,,8,0,279
508039,5,2,0,478
,,2,10,239
,,8,0,279
508040,5,2,0,478
,,2,10,239
,,8,0,279
508041,5,2,0,480
,,2,10,240
,,8,0,280
508042,5,2,0,480
,,2,10,240
,,8,0,280
508043,5,2,0,480
,,2,10,240
,,8,0,280
508044,5,2,0,480
,,2,10,240
,,8,0,280
508045,5,2,0,480
,,2,10,240
,,8,0,280
508046,5,2,0,482
,,2,10,241
,,8,0,281
508047,5,2,0,482
,,2,10,241
,,8,0,281
508048,5,2,0,482
,,2,10,241
,,8,0,281
508049,5,2,0,482
,,2,10,241
,,8,0,281
508050,5,2,0,482
,,2,10,241
,,8,0,281
508051,5,2,0,484
,,2,10,242
,,8,0,282
508052,5,2,0,484
,,2,10,242
,,8,0,282
508053,5,2,0,484
,,2,10,242
,,8,0,282
508054,5,2,0,484
,,2,10,242
,,8,0,282
508055,5,2,0,484
,,2,10,242
,,8,0,282
508056,5,2,0,486
,,2,10,243
,,8,0,283
508057,5,2,0,486
,,2,10,243
,,8,0,283
508058,5,2,0,486
,,2,10,243
,,8,0,283
508059,5,2,0,486
,,2,10,243
,,8,0,283
508060,5,2,0,486
,,2,10,243
,,8,0,283
509001,5,2,0,488
,,2,10,244
,,8,0,284
509002,5,2,0,488
,,2,10,244
,,8,0,284
509003,5,2,0,488
,,2,10,244
,,8,0,284
509004,5,2,0,488
,,2,10,244
,,8,0,284
509005,5,2,0,488
,,2,10,244
,,8,0,284
509006,5,2,0,490
,,2,10,245
,,8,0,285
509007,5,2,0,490
,,2,10,245
,,8,0,285
509008,5,2,0,490
,,2,10,245
,,8,0,285
509009,5,2,0,490
,,2,10,245
,,8,0,285
509010,5,2,0,490
,,2,10,245
,,8,0,285
509011,5,2,0,492
,,2,10,246
,,8,0,286
509012,5,2,0,492
,,2,10,246
,,8,0,286
509013,5,2,0,492
,,2,10,246
,,8,0,286
509014,5,2,0,492
,,2,10,246
,,8,0,286
509015,5,2,0,492
,,2,10,246
,,8,0,286
509016,5,2,0,494
,,2,10,247
,,8,0,287
509017,5,2,0,494
,,2,10,247
,,8,0,287
509018,5,2,0,494
,,2,10,247
,,8,0,287
509019,5,2,0,494
,,2,10,247
,,8,0,287
509020,5,2,0,494
,,2,10,247
,,8,0,287
509021,5,2,0,496
,,2,10,248
,,8,0,288
509022,5,2,0,496
,,2,10,248
,,8,0,288
509023,5,2,0,496
,,2,10,248
,,8,0,288
509024,5,2,0,496
,,2,10,248
,,8,0,288
509025,5,2,0,496
,,2,10,248
,,8,0,288
509026,5,2,0,498
,,2,10,249
,,8,0,289
509027,5,2,0,498
,,2,10,249
,,8,0,289
509028,5,2,0,498
,,2,10,249
,,8,0,289
509029,5,2,0,498
,,2,10,249
,,8,0,289
509030,5,2,0,498
,,2,10,249
,,8,0,289
509031,5,2,0,500
,,2,10,250
,,8,0,290
509032,5,2,0,500
,,2,10,250
,,8,0,290
509033,5,2,0,500
,,2,10,250
,,8,0,290
509034,5,2,0,500
,,2,10,250
,,8,0,290
509035,5,2,0,500
,,2,10,250
,,8,0,290
509036,5,2,0,502
,,2,10,251
,,8,0,291
509037,5,2,0,502
,,2,10,251
,,8,0,291
509038,5,2,0,502
,,2,10,251
,,8,0,291
509039,5,2,0,502
,,2,10,251
,,8,0,291
509040,5,2,0,502
,,2,10,251
,,8,0,291
509041,5,2,0,504
,,2,10,252
,,8,0,292
509042,5,2,0,504
,,2,10,252
,,8,0,292
509043,5,2,0,504
,,2,10,252
,,8,0,292
509044,5,2,0,504
,,2,10,252
,,8,0,292
509045,5,2,0,504
,,2,10,252
,,8,0,292
509046,5,2,0,506
,,2,10,253
,,8,0,293
509047,5,2,0,506
,,2,10,253
,,8,0,293
509048,5,2,0,506
,,2,10,253
,,8,0,293
509049,5,2,0,506
,,2,10,253
,,8,0,293
509050,5,2,0,506
,,2,10,253
,,8,0,293
509051,5,2,0,508
,,2,10,254
,,8,0,294
509052,5,2,0,508
,,2,10,254
,,8,0,294
509053,5,2,0,508
,,2,10,254
,,8,0,294
509054,5,2,0,508
,,2,10,254
,,8,0,294
509055,5,2,0,508
,,2,10,254
,,8,0,294
509056,5,2,0,510
,,2,10,255
,,8,0,295
509057,5,2,0,510
,,2,10,255
,,8,0,295
509058,5,2,0,510
,,2,10,255
,,8,0,295
509059,5,2,0,510
,,2,10,255
,,8,0,295
509060,5,2,0,510
,,2,10,255
,,8,0,295
509061,5,2,0,512
,,2,10,256
,,8,0,296
509062,5,2,0,512
,,2,10,256
,,8,0,296
509063,5,2,0,512
,,2,10,256
,,8,0,296
509064,5,2,0,512
,,2,10,256
,,8,0,296
509065,5,2,0,512
,,2,10,256
,,8,0,296
601001,6,2,0,514
,,2,10,257
,,8,0,297
601002,6,2,0,514
,,2,10,257
,,8,0,297
601003,6,2,0,514
,,2,10,257
,,8,0,297
601004,6,2,0,514
,,2,10,257
,,8,0,297
601005,6,2,0,514
,,2,10,257
,,8,0,297
601006,6,2,0,516
,,2,10,258
,,8,0,298
601007,6,2,0,516
,,2,10,258
,,8,0,298
601008,6,2,0,516
,,2,10,258
,,8,0,298
601009,6,2,0,516
,,2,10,258
,,8,0,298
601010,6,2,0,516
,,2,10,258
,,8,0,298
601011,6,2,0,518
,,2,10,259
,,8,0,299
601012,6,2,0,518
,,2,10,259
,,8,0,299
601013,6,2,0,518
,,2,10,259
,,8,0,299
601014,6,2,0,518
,,2,10,259
,,8,0,299
601015,6,2,0,518
,,2,10,259
,,8,0,299
601016,6,2,0,520
,,2,10,260
,,8,0,300
601017,6,2,0,520
,,2,10,260
,,8,0,300
601018,6,2,0,520
,,2,10,260
,,8,0,300
601019,6,2,0,520
,,2,10,260
,,8,0,300
601020,6,2,0,520
,,2,10,260
,,8,0,300
601021,6,2,0,522
,,2,10,261
,,8,0,301
601022,6,2,0,522
,,2,10,261
,,8,0,301
601023,6,2,0,522
,,2,10,261
,,8,0,301
601024,6,2,0,522
,,2,10,261
,,8,0,301
601025,6,2,0,522
,,2,10,261
,,8,0,301
601026,6,2,0,524
,,2,10,262
,,8,0,302
601027,6,2,0,524
,,2,10,262
,,8,0,302
601028,6,2,0,524
,,2,10,262
,,8,0,302
601029,6,2,0,524
,,2,10,262
,,8,0,302
601030,6,2,0,524
,,2,10,262
,,8,0,302
601031,6,2,0,526
,,2,10,263
,,8,0,303
601032,6,2,0,526
,,2,10,263
,,8,0,303
601033,6,2,0,526
,,2,10,263
,,8,0,303
601034,6,2,0,526
,,2,10,263
,,8,0,303
601035,6,2,0,526
,,2,10,263
,,8,0,303
601036,6,2,0,528
,,2,10,264
,,8,0,304
601037,6,2,0,528
,,2,10,264
,,8,0,304
601038,6,2,0,528
,,2,10,264
,,8,0,304
601039,6,2,0,528
,,2,10,264
,,8,0,304
601040,6,2,0,528
,,2,10,264
,,8,0,304
601041,6,2,0,530
,,2,10,265
,,8,0,305
601042,6,2,0,530
,,2,10,265
,,8,0,305
601043,6,2,0,530
,,2,10,265
,,8,0,305
601044,6,2,0,530
,,2,10,265
,,8,0,305
601045,6,2,0,530
,,2,10,265
,,8,0,305
601046,6,2,0,532
,,2,10,266
,,8,0,306
601047,6,2,0,532
,,2,10,266
,,8,0,306
601048,6,2,0,532
,,2,10,266
,,8,0,306
601049,6,2,0,532
,,2,10,266
,,8,0,306
601050,6,2,0,532
,,2,10,266
,,8,0,306
601051,6,2,0,534
,,2,10,267
,,8,0,307
601052,6,2,0,534
,,2,10,267
,,8,0,307
601053,6,2,0,534
,,2,10,267
,,8,0,307
601054,6,2,0,534
,,2,10,267
,,8,0,307
601055,6,2,0,534
,,2,10,267
,,8,0,307
602001,6,2,0,536
,,2,10,268
,,8,0,308
602002,6,2,0,536
,,2,10,268
,,8,0,308
602003,6,2,0,536
,,2,10,268
,,8,0,308
602004,6,2,0,536
,,2,10,268
,,8,0,308
602005,6,2,0,536
,,2,10,268
,,8,0,308
602006,6,2,0,538
,,2,10,269
,,8,0,309
602007,6,2,0,538
,,2,10,269
,,8,0,309
602008,6,2,0,538
,,2,10,269
,,8,0,309
602009,6,2,0,538
,,2,10,269
,,8,0,309
602010,6,2,0,538
,,2,10,269
,,8,0,309
602011,6,2,0,540
,,2,10,270
,,8,0,310
602012,6,2,0,540
,,2,10,270
,,8,0,310
602013,6,2,0,540
,,2,10,270
,,8,0,310
602014,6,2,0,540
,,2,10,270
,,8,0,310
602015,6,2,0,540
,,2,10,270
,,8,0,310
602016,6,2,0,542
,,2,10,271
,,8,0,311
602017,6,2,0,542
,,2,10,271
,,8,0,311
602018,6,2,0,542
,,2,10,271
,,8,0,311
602019,6,2,0,542
,,2,10,271
,,8,0,311
602020,6,2,0,542
,,2,10,271
,,8,0,311
602021,6,2,0,544
,,2,10,272
,,8,0,312
602022,6,2,0,544
,,2,10,272
,,8,0,312
602023,6,2,0,544
,,2,10,272
,,8,0,312
602024,6,2,0,544
,,2,10,272
,,8,0,312
602025,6,2,0,544
,,2,10,272
,,8,0,312
602026,6,2,0,546
,,2,10,273
,,8,0,313
602027,6,2,0,546
,,2,10,273
,,8,0,313
602028,6,2,0,546
,,2,10,273
,,8,0,313
602029,6,2,0,546
,,2,10,273
,,8,0,313
602030,6,2,0,546
,,2,10,273
,,8,0,313
602031,6,2,0,548
,,2,10,274
,,8,0,314
602032,6,2,0,548
,,2,10,274
,,8,0,314
602033,6,2,0,548
,,2,10,274
,,8,0,314
602034,6,2,0,548
,,2,10,274
,,8,0,314
602035,6,2,0,548
,,2,10,274
,,8,0,314
602036,6,2,0,550
,,2,10,275
,,8,0,315
602037,6,2,0,550
,,2,10,275
,,8,0,315
602038,6,2,0,550
,,2,10,275
,,8,0,315
602039,6,2,0,550
,,2,10,275
,,8,0,315
602040,6,2,0,550
,,2,10,275
,,8,0,315
602041,6,2,0,552
,,2,10,276
,,8,0,316
602042,6,2,0,552
,,2,10,276
,,8,0,316
602043,6,2,0,552
,,2,10,276
,,8,0,316
602044,6,2,0,552
,,2,10,276
,,8,0,316
602045,6,2,0,552
,,2,10,276
,,8,0,316
602046,6,2,0,554
,,2,10,277
,,8,0,317
602047,6,2,0,554
,,2,10,277
,,8,0,317
602048,6,2,0,554
,,2,10,277
,,8,0,317
602049,6,2,0,554
,,2,10,277
,,8,0,317
602050,6,2,0,554
,,2,10,277
,,8,0,317
602051,6,2,0,556
,,2,10,278
,,8,0,318
602052,6,2,0,556
,,2,10,278
,,8,0,318
602053,6,2,0,556
,,2,10,278
,,8,0,318
602054,6,2,0,556
,,2,10,278
,,8,0,318
602055,6,2,0,556
,,2,10,278
,,8,0,318
603001,6,2,0,558
,,2,10,279
,,8,0,319
603002,6,2,0,558
,,2,10,279
,,8,0,319
603003,6,2,0,558
,,2,10,279
,,8,0,319
603004,6,2,0,558
,,2,10,279
,,8,0,319
603005,6,2,0,558
,,2,10,279
,,8,0,319
603006,6,2,0,560
,,2,10,280
,,8,0,320
603007,6,2,0,560
,,2,10,280
,,8,0,320
603008,6,2,0,560
,,2,10,280
,,8,0,320
603009,6,2,0,560
,,2,10,280
,,8,0,320
603010,6,2,0,560
,,2,10,280
,,8,0,320
603011,6,2,0,562
,,2,10,281
,,8,0,321
603012,6,2,0,562
,,2,10,281
,,8,0,321
603013,6,2,0,562
,,2,10,281
,,8,0,321
603014,6,2,0,562
,,2,10,281
,,8,0,321
603015,6,2,0,562
,,2,10,281
,,8,0,321
603016,6,2,0,564
,,2,10,282
,,8,0,322
603017,6,2,0,564
,,2,10,282
,,8,0,322
603018,6,2,0,564
,,2,10,282
,,8,0,322
603019,6,2,0,564
,,2,10,282
,,8,0,322
603020,6,2,0,564
,,2,10,282
,,8,0,322
603021,6,2,0,566
,,2,10,283
,,8,0,323
603022,6,2,0,566
,,2,10,283
,,8,0,323
603023,6,2,0,566
,,2,10,283
,,8,0,323
603024,6,2,0,566
,,2,10,283
,,8,0,323
603025,6,2,0,566
,,2,10,283
,,8,0,323
603026,6,2,0,568
,,2,10,284
,,8,0,324
603027,6,2,0,568
,,2,10,284
,,8,0,324
603028,6,2,0,568
,,2,10,284
,,8,0,324
603029,6,2,0,568
,,2,10,284
,,8,0,324
603030,6,2,0,568
,,2,10,284
,,8,0,324
603031,6,2,0,570
,,2,10,285
,,8,0,325
603032,6,2,0,570
,,2,10,285
,,8,0,325
603033,6,2,0,570
,,2,10,285
,,8,0,325
603034,6,2,0,570
,,2,10,285
,,8,0,325
603035,6,2,0,570
,,2,10,285
,,8,0,325
603036,6,2,0,572
,,2,10,286
,,8,0,326
603037,6,2,0,572
,,2,10,286
,,8,0,326
603038,6,2,0,572
,,2,10,286
,,8,0,326
603039,6,2,0,572
,,2,10,286
,,8,0,326
603040,6,2,0,572
,,2,10,286
,,8,0,326
603041,6,2,0,574
,,2,10,287
,,8,0,327
603042,6,2,0,574
,,2,10,287
,,8,0,327
603043,6,2,0,574
,,2,10,287
,,8,0,327
603044,6,2,0,574
,,2,10,287
,,8,0,327
603045,6,2,0,574
,,2,10,287
,,8,0,327
603046,6,2,0,576
,,2,10,288
,,8,0,328
603047,6,2,0,576
,,2,10,288
,,8,0,328
603048,6,2,0,576
,,2,10,288
,,8,0,328
603049,6,2,0,576
,,2,10,288
,,8,0,328
603050,6,2,0,576
,,2,10,288
,,8,0,328
603051,6,2,0,578
,,2,10,289
,,8,0,329
603052,6,2,0,578
,,2,10,289
,,8,0,329
603053,6,2,0,578
,,2,10,289
,,8,0,329
603054,6,2,0,578
,,2,10,289
,,8,0,329
603055,6,2,0,578
,,2,10,289
,,8,0,329
603056,6,2,0,580
,,2,10,290
,,8,0,330
603057,6,2,0,580
,,2,10,290
,,8,0,330
603058,6,2,0,580
,,2,10,290
,,8,0,330
603059,6,2,0,580
,,2,10,290
,,8,0,330
603060,6,2,0,580
,,2,10,290
,,8,0,330
604001,6,2,0,582
,,2,10,291
,,8,0,331
604002,6,2,0,582
,,2,10,291
,,8,0,331
604003,6,2,0,582
,,2,10,291
,,8,0,331
604004,6,2,0,582
,,2,10,291
,,8,0,331
604005,6,2,0,582
,,2,10,291
,,8,0,331
604006,6,2,0,584
,,2,10,292
,,8,0,332
604007,6,2,0,584
,,2,10,292
,,8,0,332
604008,6,2,0,584
,,2,10,292
,,8,0,332
604009,6,2,0,584
,,2,10,292
,,8,0,332
604010,6,2,0,584
,,2,10,292
,,8,0,332
604011,6,2,0,586
,,2,10,293
,,8,0,333
604012,6,2,0,586
,,2,10,293
,,8,0,333
604013,6,2,0,586
,,2,10,293
,,8,0,333
604014,6,2,0,586
,,2,10,293
,,8,0,333
604015,6,2,0,586
,,2,10,293
,,8,0,333
604016,6,2,0,588
,,2,10,294
,,8,0,334
604017,6,2,0,588
,,2,10,294
,,8,0,334
604018,6,2,0,588
,,2,10,294
,,8,0,334
604019,6,2,0,588
,,2,10,294
,,8,0,334
604020,6,2,0,588
,,2,10,294
,,8,0,334
604021,6,2,0,590
,,2,10,295
,,8,0,335
604022,6,2,0,590
,,2,10,295
,,8,0,335
604023,6,2,0,590
,,2,10,295
,,8,0,335
604024,6,2,0,590
,,2,10,295
,,8,0,335
604025,6,2,0,590
,,2,10,295
,,8,0,335
604026,6,2,0,592
,,2,10,296
,,8,0,336
604027,6,2,0,592
,,2,10,296
,,8,0,336
604028,6,2,0,592
,,2,10,296
,,8,0,336
604029,6,2,0,592
,,2,10,296
,,8,0,336
604030,6,2,0,592
,,2,10,296
,,8,0,336
604031,6,2,0,594
,,2,10,297
,,8,0,337
604032,6,2,0,594
,,2,10,297
,,8,0,337
604033,6,2,0,594
,,2,10,297
,,8,0,337
604034,6,2,0,594
,,2,10,297
,,8,0,337
604035,6,2,0,594
,,2,10,297
,,8,0,337
604036,6,2,0,596
,,2,10,298
,,8,0,338
604037,6,2,0,596
,,2,10,298
,,8,0,338
604038,6,2,0,596
,,2,10,298
,,8,0,338
604039,6,2,0,596
,,2,10,298
,,8,0,338
604040,6,2,0,596
,,2,10,298
,,8,0,338
604041,6,2,0,598
,,2,10,299
,,8,0,339
604042,6,2,0,598
,,2,10,299
,,8,0,339
604043,6,2,0,598
,,2,10,299
,,8,0,339
604044,6,2,0,598
,,2,10,299
,,8,0,339
604045,6,2,0,598
,,2,10,299
,,8,0,339
604046,6,2,0,600
,,2,10,300
,,8,0,340
604047,6,2,0,600
,,2,10,300
,,8,0,340
604048,6,2,0,600
,,2,10,300
,,8,0,340
604049,6,2,0,600
,,2,10,300
,,8,0,340
604050,6,2,0,600
,,2,10,300
,,8,0,340
604051,6,2,0,602
,,2,10,301
,,8,0,341
604052,6,2,0,602
,,2,10,301
,,8,0,341
604053,6,2,0,602
,,2,10,301
,,8,0,341
604054,6,2,0,602
,,2,10,301
,,8,0,341
604055,6,2,0,602
,,2,10,301
,,8,0,341
604056,6,2,0,604
,,2,10,302
,,8,0,342
604057,6,2,0,604
,,2,10,302
,,8,0,342
604058,6,2,0,604
,,2,10,302
,,8,0,342
604059,6,2,0,604
,,2,10,302
,,8,0,342
604060,6,2,0,604
,,2,10,302
,,8,0,342
604061,6,2,0,606
,,2,10,303
,,8,0,343
604062,6,2,0,606
,,2,10,303
,,8,0,343
604063,6,2,0,606
,,2,10,303
,,8,0,343
604064,6,2,0,606
,,2,10,303
,,8,0,343
604065,6,2,0,606
,,2,10,303
,,8,0,343
605001,6,2,0,608
,,2,10,304
,,8,0,344
605002,6,2,0,608
,,2,10,304
,,8,0,344
605003,6,2,0,608
,,2,10,304
,,8,0,344
605004,6,2,0,608
,,2,10,304
,,8,0,344
605005,6,2,0,608
,,2,10,304
,,8,0,344
605006,6,2,0,610
,,2,10,305
,,8,0,345
605007,6,2,0,610
,,2,10,305
,,8,0,345
605008,6,2,0,610
,,2,10,305
,,8,0,345
605009,6,2,0,610
,,2,10,305
,,8,0,345
605010,6,2,0,610
,,2,10,305
,,8,0,345
605011,6,2,0,612
,,2,10,306
,,8,0,346
605012,6,2,0,612
,,2,10,306
,,8,0,346
605013,6,2,0,612
,,2,10,306
,,8,0,346
605014,6,2,0,612
,,2,10,306
,,8,0,346
605015,6,2,0,612
,,2,10,306
,,8,0,346
605016,6,2,0,614
,,2,10,307
,,8,0,347
605017,6,2,0,614
,,2,10,307
,,8,0,347
605018,6,2,0,614
,,2,10,307
,,8,0,347
605019,6,2,0,614
,,2,10,307
,,8,0,347
605020,6,2,0,614
,,2,10,307
,,8,0,347
605021,6,2,0,616
,,2,10,308
,,8,0,348
605022,6,2,0,616
,,2,10,308
,,8,0,348
605023,6,2,0,616
,,2,10,308
,,8,0,348
605024,6,2,0,616
,,2,10,308
,,8,0,348
605025,6,2,0,616
,,2,10,308
,,8,0,348
605026,6,2,0,618
,,2,10,309
,,8,0,349
605027,6,2,0,618
,,2,10,309
,,8,0,349
605028,6,2,0,618
,,2,10,309
,,8,0,349
605029,6,2,0,618
,,2,10,309
,,8,0,349
605030,6,2,0,618
,,2,10,309
,,8,0,349
605031,6,2,0,620
,,2,10,310
,,8,0,350
605032,6,2,0,620
,,2,10,310
,,8,0,350
605033,6,2,0,620
,,2,10,310
,,8,0,350
605034,6,2,0,620
,,2,10,310
,,8,0,350
605035,6,2,0,620
,,2,10,310
,,8,0,350
605036,6,2,0,622
,,2,10,311
,,8,0,351
605037,6,2,0,622
,,2,10,311
,,8,0,351
605038,6,2,0,622
,,2,10,311
,,8,0,351
605039,6,2,0,622
,,2,10,311
,,8,0,351
605040,6,2,0,622
,,2,10,311
,,8,0,351
605041,6,2,0,624
,,2,10,312
,,8,0,352
605042,6,2,0,624
,,2,10,312
,,8,0,352
605043,6,2,0,624
,,2,10,312
,,8,0,352
605044,6,2,0,624
,,2,10,312
,,8,0,352
605045,6,2,0,624
,,2,10,312
,,8,0,352
605046,6,2,0,626
,,2,10,313
,,8,0,353
605047,6,2,0,626
,,2,10,313
,,8,0,353
605048,6,2,0,626
,,2,10,313
,,8,0,353
605049,6,2,0,626
,,2,10,313
,,8,0,353
605050,6,2,0,626
,,2,10,313
,,8,0,353
605051,6,2,0,628
,,2,10,314
,,8,0,354
605052,6,2,0,628
,,2,10,314
,,8,0,354
605053,6,2,0,628
,,2,10,314
,,8,0,354
605054,6,2,0,628
,,2,10,314
,,8,0,354
605055,6,2,0,628
,,2,10,314
,,8,0,354
605056,6,2,0,630
,,2,10,315
,,8,0,355
605057,6,2,0,630
,,2,10,315
,,8,0,355
605058,6,2,0,630
,,2,10,315
,,8,0,355
605059,6,2,0,630
,,2,10,315
,,8,0,355
605060,6,2,0,630
,,2,10,315
,,8,0,355
605061,6,2,0,632
,,2,10,316
,,8,0,356
605062,6,2,0,632
,,2,10,316
,,8,0,356
605063,6,2,0,632
,,2,10,316
,,8,0,356
605064,6,2,0,632
,,2,10,316
,,8,0,356
605065,6,2,0,632
,,2,10,316
,,8,0,356
605066,6,2,0,634
,,2,10,317
,,8,0,357
605067,6,2,0,634
,,2,10,317
,,8,0,357
605068,6,2,0,634
,,2,10,317
,,8,0,357
605069,6,2,0,634
,,2,10,317
,,8,0,357
605070,6,2,0,634
,,2,10,317
,,8,0,357
606001,6,2,0,636
,,2,10,318
,,8,0,358
606002,6,2,0,636
,,2,10,318
,,8,0,358
606003,6,2,0,636
,,2,10,318
,,8,0,358
606004,6,2,0,636
,,2,10,318
,,8,0,358
606005,6,2,0,636
,,2,10,318
,,8,0,358
606006,6,2,0,638
,,2,10,319
,,8,0,359
606007,6,2,0,638
,,2,10,319
,,8,0,359
606008,6,2,0,638
,,2,10,319
,,8,0,359
606009,6,2,0,638
,,2,10,319
,,8,0,359
606010,6,2,0,638
,,2,10,319
,,8,0,359
606011,6,2,0,640
,,2,10,320
,,8,0,360
606012,6,2,0,640
,,2,10,320
,,8,0,360
606013,6,2,0,640
,,2,10,320
